,store_id,lable
0,008b842b-34d7-4810-adf3-82e7fc75d355,0
1,008b842b-34d7-4810-adf3-82e7fc75d355,0
2,008b842b-34d7-4810-adf3-82e7fc75d355,0
3,00ae5b63-7471-4a45-a5a8-899643aa3373,0
4,00ae5b63-7471-4a45-a5a8-899643aa3373,0
5,00ae5b63-7471-4a45-a5a8-899643aa3373,0
6,05e071d3-9689-4da1-8393-3aa1a4823cf9,0
7,083021b2-4cc1-424f-8aa4-00630fe2470c,0
8,083021b2-4cc1-424f-8aa4-00630fe2470c,1
9,083021b2-4cc1-424f-8aa4-00630fe2470c,1
10,083021b2-4cc1-424f-8aa4-00630fe2470c,1
11,111f954c-3295-4e59-a2f1-10e989dc85d8,0
12,111f954c-3295-4e59-a2f1-10e989dc85d8,0
13,111f954c-3295-4e59-a2f1-10e989dc85d8,0
14,12ee553f-fbf0-4f01-8238-3341fc4688ee,0
15,13b58a56-f3f6-4830-a196-9b8c5a332201,1
16,1981a09c-5a84-4a3a-8861-15ca838bc92d,0
17,1981a09c-5a84-4a3a-8861-15ca838bc92d,0
18,1981a09c-5a84-4a3a-8861-15ca838bc92d,0
19,1c868aed-71b1-4844-aa4b-60604f6d83e7,0
20,1f54178f-716d-49c8-8616-91a78911ddd8,0
21,1f54178f-716d-49c8-8616-91a78911ddd8,0
22,1f54178f-716d-49c8-8616-91a78911ddd8,0
23,274024a6-2524-774c-db6f-3fa81cf66832,0
24,274024a6-2524-774c-db6f-3fa81cf66832,0
25,2c2d6501-ca3e-4db7-9fc7-f6b6c6b9e321,0
26,2c2d6501-ca3e-4db7-9fc7-f6b6c6b9e321,0
27,2caf9dd0-0fa4-4f54-8c75-e361910ca16d,0
28,2caf9dd0-0fa4-4f54-8c75-e361910ca16d,0
29,2caf9dd0-0fa4-4f54-8c75-e361910ca16d,0
30,b3ca8364-7289-44af-9841-66e6bc10bf52,1
31,3857bb67-1857-4e8f-b895-47c59beb3d34,1
32,3857bb67-1857-4e8f-b895-47c59beb3d34,1
33,3857bb67-1857-4e8f-b895-47c59beb3d34,1
34,4671659e-a437-41c3-b874-97606227d584,0
35,480c8cba-c6d9-492c-8893-8018bec447c0,0
36,480c8cba-c6d9-492c-8893-8018bec447c0,0
37,480c8cba-c6d9-492c-8893-8018bec447c0,0
38,4cf0f954-56a0-829d-10df-41b447178405,1
39,4cf0f954-56a0-829d-10df-41b447178405,0
40,4cf0f954-56a0-829d-10df-41b447178405,1
41,4dee926e-84e7-b848-182b-68c16b9fe0ea,0
42,4dee926e-84e7-b848-182b-68c16b9fe0ea,0
43,53a5f4a2-7349-4378-96a2-0e33bb8deaee,0
44,572d1397-ec1a-4f15-b6c6-c4e078aef3a2,1
45,572d1397-ec1a-4f15-b6c6-c4e078aef3a2,1
46,5bd346a2-a553-4786-87d8-f88757ffea4c,0
47,5bd346a2-a553-4786-87d8-f88757ffea4c,0
48,5c894c13-fdc5-4b96-8231-32faad8404c7,0
49,5c894c13-fdc5-4b96-8231-32faad8404c7,0
50,0763cdfe-80f2-4325-b3ec-81475b4dfb4b,0
51,f72bc691-bbbe-47b2-b022-7c0e898afbed,1
52,0b4e2750-fc4d-40a2-ba43-7227ca29ece5,0
53,0b4e2750-fc4d-40a2-ba43-7227ca29ece5,0
54,5ecf14d9-eb31-4b24-b684-4af96aa603e5,0
55,5ecf14d9-eb31-4b24-b684-4af96aa603e5,1
56,5ecf14d9-eb31-4b24-b684-4af96aa603e5,1
57,5ecf14d9-eb31-4b24-b684-4af96aa603e5,0
58,612af008-e088-3be4-4f72-305826bc1b54,0
59,622d701a-c05d-409a-b121-9057438fdc2c,1
60,622d701a-c05d-409a-b121-9057438fdc2c,0
61,63279d6b-3434-4eb8-9831-b4a692d1b424,0
62,6459646a-131d-4357-90ed-039520bf57c8,0
63,6459646a-131d-4357-90ed-039520bf57c8,0
64,6459646a-131d-4357-90ed-039520bf57c8,0
65,6700f36a-d022-48cb-6e6f-d2f6023f8be4,0
66,6f8f7ee5-2da1-4370-8c31-8c7b36757c9e,1
67,73fb32f1-374d-2fae-227c-e777351228b4,0
68,73fb32f1-374d-2fae-227c-e777351228b4,1
69,73fb32f1-374d-2fae-227c-e777351228b4,0
70,76479dc0-b208-4d1d-8026-3e79ab705a86,1
71,76479dc0-b208-4d1d-8026-3e79ab705a86,0
72,76479dc0-b208-4d1d-8026-3e79ab705a86,1
73,783d6206-6276-4477-a76d-474b380b2a3a,0
74,783d6206-6276-4477-a76d-474b380b2a3a,0
75,783d6206-6276-4477-a76d-474b380b2a3a,0
76,78841ead-87a0-4eb1-9899-f8d231f01a73,0
77,78841ead-87a0-4eb1-9899-f8d231f01a73,0
78,78841ead-87a0-4eb1-9899-f8d231f01a73,0
79,7d0f9929-e5cc-44c4-a28a-c9ac1c6e2ab6,0
80,8116e1f8-e665-4b18-bfc7-d7676117d843,0
