merchant_id industry_level1 province
00069518-a340-4360-99b1-dda2edc4f276 2 1
000956b7-a8a0-11e6-9007-ecf4bbdeffbc 1 2
000cb81d-1f1c-11e6-9007-ecf4bbdeffbc 1 2
0016db06-83de-4b24-a97a-3a6d7ba1dfa7 1 1
001ca6fe-e5f6-44c1-843b-c4be6a313aed 1 1
00288569-f021-11e5-801b-6c92bf21cf9b 1 1
002f5fb2-75a3-11e6-9007-ecf4bbdeffbc 1 2
0035b6d4-d1a6-41ff-ace1-9b8e44dd7c03 1 2
004679ad-c741-4d15-8c04-3de5d9cb8fe2 1 3
0057c401-a259-11e6-9007-ecf4bbdeffbc 1 1
00591b23-fc3b-4673-b2da-f303d78a76c6 2 2
005f5ccf-fe0d-4dc2-8db4-66e0f778b7fe 2 2
00627e23-378e-11e7-bd48-70106fb1fcca 2 1
00659081-685b-44b5-a249-f8fde5b472f6 2 1
0069c6be-e515-4f2a-8837-db59440e1447 1 3
006b9578-9320-4875-8cf6-0e1b1024b81e 1 2
006cf203-5f96-47c1-a187-c99ed95a30f0 1 3
008b5b6d-63f5-4c39-878f-32b0db764f22 1 2
0095d4f5-f1e6-4047-a8b8-27ee0f487997 2 1
00988818-fc3c-4286-b7d5-44c60027ed9e 2 1
009de73c-b7c0-4bb8-b786-fffb401b3cf0 2 3
00a9b47e-ccfb-11e6-9007-ecf4bbdeffbc 1 1
00ab6439-5b1b-423b-90b8-6023220f9793 2 1
00b81eb0-152c-11e7-9936-008cfae57a48 2 1
00c02205-8167-44d9-a75a-5965476c57de 2 2
00ce6e73-4506-4305-bfc6-cd5a22db351c 1 3
00d21a38-b39e-11e6-9007-ecf4bbdeffbc 1 1
00e44227-5253-11e6-9007-ecf4bbdeffbc 1 1
00eb858b-87db-43dd-8913-a3603741196c 1 1
00ece79d-7366-4e5d-a561-455ebb643fc6 2 1
00fd50af-9860-4406-bcc9-4882d52d27c1 1 3
01174a9b-7a8a-4419-8041-191492f18c9a 1 1
011c5e00-2c10-11e7-8008-7cd30ab49c9c 2 1
0121246c-39ef-4404-bc03-8e2d8812794b 2 1
012b692f-ae0c-4bfc-8e15-8e04e235d676 2 1
012d5732-3611-4e58-85e1-848bd232033d 1 3
013433f7-9cbe-11e6-9007-ecf4bbdeffbc 1 1
0141bf48-fb38-11e6-9007-ecf4bbdeffbc 2 1
015ee3f1-acde-47be-87cc-d20482792966 2 1
01764fc6-05ec-11e6-9180-ecf4bbdede50 1 3
017d1bf2-ec2e-4dc8-89d1-5792a4bb35a7 1 1
017f7eb6-6cba-493e-bb4d-925b15e2c397 2 1
01803f8f-463a-4999-bfbf-53c05a0c1a62 2 1
0180bd40-028e-4165-880b-2eb046f35632 1 2
018d200a-d631-11e6-9007-ecf4bbdeffbc 1 2
0190b1d9-fdca-4cf8-a4a3-c313303e5edd 2 2
019205b9-930a-42d6-b892-5f647a06f48b 3 1
01b4ae7d-218b-11e7-8008-7cd30ab49c9c 2 1
01bf2857-ed96-4094-a3e7-a1e974f7f510 3 1
01d53769-e82e-11e5-801b-6c92bf21cf9b 1 1
01d90405-70ea-11e6-9007-ecf4bbdeffbc 1 3
01e4dba2-3bd5-11e7-bd48-70106fb1fcca 1 1
02043879-6182-4a7f-be70-2fa683e47bfc 2 2
02175075-24d7-11e7-8008-7cd30ab49c9c 2 3
02206c8a-aa8d-4fd1-a25d-b987bc99b625 2 1
022a684e-3ade-48f0-8764-db9bcb5a5698 1 1
02345c32-4ba2-49b7-a8e5-efdcd94f9a1b 2 1
02349779-b7d2-11e6-9007-ecf4bbdeffbc 1 1
023f57f3-5e12-11e6-9007-ecf4bbdeffbc 1 2
0249108f-a336-4ca3-b0c1-c23cc8b73a53 1 2
024a97a6-3cae-40c4-b6ff-247e275d8c78 1 1
024db445-9025-447f-b1dc-3818da396440 1 1
025470a3-69c0-11e6-9007-ecf4bbdeffbc 1 1
02664a4b-a52e-479b-bafa-6cd97f5c3a59 1 1
02912c1a-d014-4618-80f0-20139d584fb4 2 2
029595ea-d8b7-478f-ba83-813ebfdbefaa 1 1
02c5ce74-b32b-465e-b9c4-73ed0a63b963 2 3
02e14208-5223-4a5f-9a95-40d3cb7dea54 1 1
02ef67c6-e4bf-4707-85a1-69e585cbb72c 2 1
031bb2c3-22a8-4f13-85dc-b994d1313c68 3 1
0321d18a-116a-4f42-a10f-00f96fb2cb16 3 2
03282f5d-3ca5-4852-93c1-9c5a1f71da1d 2 1
03346ba3-eaef-484c-a4df-f1104c5fded4 2 1
0337c770-e44a-11e5-801b-6c92bf21cf9b 2 1
0362ef80-2513-4753-a9c1-a64bbbee465f 1 1
0391282c-1a0d-44be-b870-bc277cd4eadb 1 1
03a19143-2d1c-4734-a487-019d85930716 1 1
03a6ecf5-d6a3-41ff-b0a3-8a826934bc72 2 2
03b0fc3a-fca4-11e5-9180-ecf4bbdede50 1 1
03b442fa-3297-4947-b07f-ce3d8b5f2e15 1 1
03c3e409-0e59-4596-89f3-78b810510deb 2 2
03ce107c-d90b-4b40-86d2-82cff731dfd6 1 1
03d99411-e6a3-4773-9582-aa1cc75da672 1 2
03e6c05a-e699-11e5-801b-6c92bf21cf9b 1 1
040aabb5-ae04-4686-a624-c4f4e05874d4 1 1
040e0812-d48e-4bed-9614-8c4bf617f3a2 1 1
042f7452-42d3-42f6-94a1-6089aff82167 2 1
0433f68d-c377-11e6-9007-ecf4bbdeffbc 1 2
0437b1d7-5f8b-4828-8232-10a3cbfa45e8 2 2
043b48bd-9a70-492d-a2cf-073bed50cfd2 1 2
043c3d55-623d-11e7-bd48-70106fb1fcca 2 2
043d4d26-d65c-11e6-9007-ecf4bbdeffbc 1 3
0466e2e5-8161-11e6-9007-ecf4bbdeffbc 1 2
046b7bba-ecd8-4ed9-89e1-36fdd70844b8 1 2
046f0e3b-aeb0-446a-89b0-65c1e355203b 2 1
0477db12-8f96-11e6-9007-ecf4bbdeffbc 1 1
0485e341-b37e-4fd2-8936-86a78d862838 3 1
049d86a6-581c-4995-95c1-2b83b38cfc06 1 3
04ad0f92-a278-11e6-9007-ecf4bbdeffbc 1 1
04b1ad57-45e9-11e7-bd48-70106fb1fcca 1 1
04b3a97f-19af-11e6-9007-ecf4bbdeffbc 1 1
04c30be8-bd25-4bd5-acd2-141a90fdd490 1 1
04ec7aff-d23f-480c-9c8e-a694f8bde181 2 1
04fceb0a-9122-4a3f-994f-3e9f2a0e31e4 2 1
05005f4e-c714-11e5-9987-6c92bf21cf9b 1 1
05072a6f-64f2-4c78-a7e2-0a5811b42629 1 2
05223cd5-4722-11e6-9007-ecf4bbdeffbc 3 1
0532efb0-83b8-11e6-9007-ecf4bbdeffbc 1 1
0532f05e-4777-11e7-bd48-70106fb1fcca 1 1
053661d9-2eb2-4bec-9073-d3c183cfce70 1 1
05380e2b-efac-42dc-a41b-7c77c80a89a7 3 1
05460421-d491-41d5-8ddd-d9bc60ba48a5 1 1
055e6a0b-e9da-4971-a1fe-f627e42af28b 3 3
0578433b-f282-11e6-9007-ecf4bbdeffbc 1 3
05798d47-23d9-11e7-8008-7cd30ab49c9c 2 2
05907b31-ee1b-4eb4-bfb8-7dbcc16c10ea 2 1
059242d8-6683-40df-9f8f-78d57a241c74 3 1
0593507c-33d6-4779-891a-092f2a2abb69 2 1
05a46b18-410a-413a-929f-eaaec4b0c1de 2 1
05d6dbbc-468a-4c2e-b911-72bd38227895 2 1
05e8cfa8-efe9-47f5-adf2-09f53cf08b43 2 1
05fce0fe-3090-474b-8042-d3d0788583da 1 3
060e4e55-b79b-11e6-9007-ecf4bbdeffbc 1 1
061fa250-b446-11e5-9987-6c92bf21cf9b 3 1
0633a187-deb7-43e3-a5a7-5159809a9be1 1 1
06376e89-4e7f-485d-9514-38810d92dfa7 2 1
063804b3-1511-11e7-9936-008cfae57a48 1 3
063b23ea-befd-4e8c-bfa3-de8391a46bc5 2 1
064533f5-d3ae-4890-bd1d-067e0ca34ee9 2 1
0653a630-e57d-4863-8ac5-4fa7cd8eb3b0 1 1
065c9487-e454-4353-96c8-f521dbc42600 1 2
065eeaa7-217b-4895-b567-29610d40a96e 1 3
066ffea8-f4d1-11e6-9007-ecf4bbdeffbc 1 3
0671ae82-b0e9-48c9-9c3b-d7bcd5d5f84e 3 1
0676558e-ad46-43ac-9b96-f0acedd8e377 2 3
067af290-c2f1-4246-b47a-b251cdbd0013 1 1
067f7f72-cd30-430e-b426-10b1e5d0e1fc 1 3
06875f8f-a89c-4a5f-a1cd-b995daf5cfbd 1 1
0696b5e5-685d-11e6-9007-ecf4bbdeffbc 1 3
069aae2f-d1c3-471d-a6f0-1bae0015a003 2 3
06a4bf13-88b6-4b3b-b693-f8ef570c6905 1 3
06b5cf7f-12a9-4c35-ae01-1bc5ec2f3ee2 2 1
06ccd413-0551-11e7-be5d-ecf4bbdede50 2 1
06d15993-d063-45c3-a403-6cb22fb90742 2 2
06d4a62c-1c27-11e6-9007-ecf4bbdeffbc 1 1
06e8fdbf-53d3-4671-b5c9-967d3bf5efb0 3 1
06eac625-e738-4549-8156-646e718adf57 1 3
06f073dd-e5bc-46b5-94dd-5ba9292a025f 1 2
0702f6c4-9687-4800-846b-93f6121b917d 1 3
070518e8-c329-11e6-9007-ecf4bbdeffbc 2 1
07117554-52f4-47e7-8830-7a848b87f723 2 1
071c66b0-1705-404e-a3a5-48de734b83c9 1 1
072cd277-a18d-43ec-9bf8-c81eaec87f3d 1 1
07399376-ead3-4cf0-954a-b2fb38d839bd 3 1
0741169b-92ce-4410-8f74-205406293680 1 1
07445ca2-1042-4a1b-9033-7857a609940e 1 3
075f6c38-e94b-40a9-a916-27a3b2930ffd 1 1
07680099-8559-11e6-9007-ecf4bbdeffbc 1 2
0772e9f1-a0d4-4f58-b6c9-c70adeec0c31 2 1
077b17d5-2a95-4881-8fe9-aa00c7d6168c 3 2
07928810-6177-45ec-89fd-519c2df22032 1 1
079ed59c-aa57-44c9-be44-f6505d472e41 1 3
07a17473-13f4-44ae-8e47-800f07246ac1 2 1
07c2a1cb-c3e8-4c06-9bbe-4249887e2686 2 1
07c430a2-18fb-4229-82ad-d250753c9f1c 1 2
07e50508-6871-11e7-bd48-70106fb1fcca 1 1
07feed42-ce45-11e6-9007-ecf4bbdeffbc 2 1
0803c104-df7f-473a-bf6b-15fa827d8f37 1 1
0809dbe8-a2b4-4358-8eaf-5a53dac7398f 1 1
0821c167-d48e-11e5-801b-6c92bf21cf9b 1 2
083291e3-914b-11e6-9007-ecf4bbdeffbc 1 1
083f45cb-7739-44e6-97bb-537aed93d049 2 1
0840b000-74b2-451e-bcd2-6eccc10cf0d4 2 2
085918e6-b911-4abe-aadb-63499011ca56 2 2
085c09ee-e1d6-4be4-a8f6-c6d8ccaeb470 1 1
085d9b3f-7ca3-11e6-9007-ecf4bbdeffbc 1 1
086d279c-1af9-4825-b070-b56f0e77509f 1 2
0874bf20-7330-471f-ae31-d6d14626a2cd 1 1
089ecbf1-9070-4b43-8f09-99f7ecd65ec9 2 2
08add126-090d-11e6-9180-ecf4bbdede50 1 2
08b7aa35-47bf-407a-b4e0-41ddc7b545fb 2 1
08b7aa76-91a2-4fc5-9906-2b4d4dbea7e8 2 1
08c0d444-5eec-4e0b-a449-134f6d9ca621 3 1
08c5c23b-3479-11e6-9007-ecf4bbdeffbc 1 3
08d5cd65-317a-11e7-8008-7cd30ab49c9c 2 1
08da974d-a281-4676-806f-26872d7e56e7 1 2
08dc4fb2-6aac-11e6-9007-ecf4bbdeffbc 1 2
08de8838-dfff-46c1-908b-ec46d6d339f9 3 1
08ed7eb1-48dc-11e6-9007-ecf4bbdeffbc 1 2
0919b435-1505-11e7-9936-008cfae57a48 1 1
091babdc-707a-4412-a9d0-7e5e72474334 2 1
09259945-1428-11e6-9180-ecf4bbdede50 1 1
09273753-bbe2-4be0-a13b-6800d6fa8728 2 1
092806d3-f5a0-4ff9-90eb-16f3bb3024c8 1 3
092e3896-19c4-11e7-bf3b-008cfae27c4c 1 1
0934d3f3-a13b-4056-9111-2c126e8ca9bd 2 3
09419bd2-d695-478a-ad26-a8a44a068df2 1 3
09507b7d-e6d4-43de-bb41-522a06b669ce 1 1
0956a719-88e7-443e-bdea-5dd6f09c1ab0 2 1
0963042e-fb01-11e5-9180-ecf4bbdede50 1 2
0985468e-4ec0-4719-816d-ae227c80b8e4 2 1
098cc064-5a4a-428f-a829-0f9ff8ca0f8b 2 1
09982162-909f-4017-ae92-20a29d4843f6 1 3
099d9a76-e3ff-49d3-a554-605491a97cf7 2 1
09b4f22e-0125-4bc6-b469-2175b0b829fa 2 1
09ba0140-d898-4a33-9f61-ac74cc02d54e 2 1
09bc77ec-502f-44aa-979b-8525d0ad48cf 3 1
