store_id,pt
90890479-b7f3-44c6-a781-3ffebaff3aef,20180501
9b88ec4b-ca2c-43a3-b91d-65a22224ecd1,20180501
db05b6e6-bc4c-4b0e-a259-f359dc884d42,20180501
3a687a38-06cf-4feb-a8e8-e8c787116765,20180501
3433fd54-9c86-144f-f1a7-c8c71c6ddd3a,20180501
7c85445b-0caf-4dfe-b2df-c63200105ca4,20180501
2871e7ed-1896-46e0-934d-2cd618c1d41e,20180501
becba5da-9544-409b-98e5-a10e8ea83ab3,20180501
a9afd1a3-0a46-4cfe-ac4d-9f426c4b9eb1,20180501
f987bc21-4f8f-408e-929c-38169acb64b1,20180501
1a4d87c8-10cf-562b-e354-427090fba603,20180501
4208847c-347c-4312-abfe-7f3e5369e0c9,20180501
020e0e98-79ef-4ec7-a7d1-7fb38a00f610,20180501
67368f32-b62e-4f5e-8012-814ebe61c72f,20180501
41718067-851b-3439-2c4e-543040be3226,20180501
dab5b2e0-debd-4abb-d3a9-40340d111e85,20180501
3a2453f7-3e0e-47e8-afe5-e5932582371c,20180501
53ea9f2d-4de0-1420-36e9-39756b8cf56c,20180501
a9e3d768-38e4-41d0-959b-912bba4c372f,20180501
025a5ccb-12f8-4ec7-84ad-6054ed7f8ce1,20180501
b8606769-2a93-4978-9d7e-811abd1e2f23,20180501
8ec4a760-2b9b-aed4-53fc-8d770662b540,20180501
6f1cf2e0-2b2c-48b3-adce-121ed2ae9e81,20180501
59c40f37-aff6-fe0c-30e3-dadcd093cd8e,20180501
75f18aa5-e9ba-4aad-a76a-9e97a1b76278,20180501
070ea04e-e6a2-4b1c-ab1c-2eb18ccfbbb6,20180501
b6d2ec03-1518-4f81-bb2e-b8e44244d8ab,20180501
b9df980b-56a6-494f-a36f-16e752761ea2,20180501
490326e4-6489-4da2-b795-c9fbe5c6f0d4,20180501
a352648d-9936-4339-acb9-aeb9175dc509,20180501
1b5811db-7e73-5e3c-1af2-a2ec27eedabe,20180501
78d2268c-d64b-4e86-89d7-ac6497b787c7,20180501
1da30059-33c2-4b4a-8c9d-f9cd6651a761,20180501
3a01f96e-fca7-611d-b0e2-fb2be6122a2f,20180501
ece3857e-1ffc-4606-bc7a-4ec213792b0e,20180501
577c1941-953e-4468-bf48-104906b6aa3a,20180501
32c21c49-ba3b-22f0-da6b-242857467692,20180501
2ae6b4b1-400b-40bf-88c3-d6c80e64b076,20180501
ccf5db8d-de49-45a6-945b-9d8d14ecb67b,20180501
50d2c2fe-686b-4f9d-9dfe-84df86eb6139,20180501
7d0aebef-9520-4e02-a48c-52587040f582,20180501
d7d951a1-efbf-44fd-ace8-f5b994894f33,20180501
93a937c7-d787-83b1-d63d-bee9875248a4,20180501
d8d3935d-19dc-4a83-80b3-895d785ba527,20180501
4e644fc3-38de-4fc6-9190-f86dc73513f5,20180501
5739273b-86b3-4448-8a62-5bdc1f41fdfb,20180501
c5a7a297-c6b8-4e7c-baec-0669a53da213,20180501
cc0e5d73-578e-42ef-be5a-1b1ad155bafd,20180501
c06e347f-ed51-4ee7-b4f1-b914712bf1f6,20180501
a0a42555-506f-42b2-85c7-9f8bff70c3fb,20180501
2cea3915-eaed-433c-9e30-8f6c08416428,20180501
e8ddfd02-d14b-4980-b356-826d75222f9e,20180501
8328461e-2aee-4869-93b5-5f47f431f007,20180501
35c92090-e54f-131b-9a0f-d88790e21d9b,20180501
4936ae76-efa1-0c3d-d851-b709bf4e14d9,20180501
264f9780-eb60-4527-ac05-6fe87019c1a6,20180501
f34f0003-0070-4daf-9d12-53855903f3bc,20180501
d37abee9-0d3b-4956-8424-d7621a947ade,20180501
d49f691e-34bc-4e16-b0b0-df0af6cfcf61,20180501
a97fec27-9f1b-507e-a6ec-8e06eb09049d,20180501
7ef91588-a69e-a4c5-c7bd-74523205233f,20180501
3fef1ba2-222e-43e0-b72e-7af92ba92143,20180501
7f7d028e-d6be-4205-9eb8-b33eb4a5853d,20180501
b440eb40-116b-4ff1-b6c0-9d3bacc176b8,20180501
ab47cd0c-331e-4b32-bb10-06e69ca15a2f,20180501
a81ecf40-1d91-1ba2-2c55-e159aa05cde3,20180501
39ec6421-075d-43df-aff9-3f8612757333,20180501
225d089d-2d98-4246-a3ae-c7f7f8b8cad4,20180501
3bd8e024-d489-4897-bb1c-a28690ecab13,20180501
ca977c25-40a9-4f02-91c7-d58ea8d4df7a,20180501
fd2c709b-8d76-4566-847a-f0679cc6ded1,20180501
e18ddb59-a0bb-58bf-6658-ca4b513102c9,20180501
d5775954-49d2-4d96-9bd4-3120de2871ba,20180501
bf1cedb5-315e-4c90-aa34-233a294b909d,20180501
